Entry	EC number
Q8U3D6	6.2.1.13
Q7VP66	6.3.5.5
C1C7Q3	6.3.5.5
P57244	6.3.5.5
Q58425	6.3.5.5
Q8GQN9	6.2.1.25
Q8G815	6.3.5.5
C1CR31	6.3.5.5
Q63Y24	6.3.3.3
A5VHN6	6.3.5.5
Q62AD1	6.2.1.1
B9EXM2	6.3.5.5
A1UWN5	6.2.1.1
Q54Z60	6.2.1.1
C0Z6S0	6.3.4.5
Q0B4C4	6.3.4.5
A2S7V6	6.3.4.5
A8G8G7	6.2.1.1
Q55404	6.2.1.1
B7MGG4	6.3.1.1
Q96CM8	6.2.1.2
Q9KDS9	6.3.4.14; 6.4.1.2
P43873	6.3.4.14; 6.4.1.2
A5IS63	6.-.-.-
A9KTY7	6.3.4.5
C1D5L4	6.3.2.4
B8ZNX6	6.3.1.1
Q3YX68	6.3.4.5
O74083	6.5.-.-
Q9C9G2	6.2.1.-
Q6ACL1	6.3.4.5
A1U3U4	6.3.4.5
Q8Q0U5	6.3.4.5
C5CAM5	6.3.4.5
Q6ATS0	6.6.1.1
A4T9W4	6.3.4.5
Q42572	6.5.1.1
Q04RK6	6.3.2.4
B8ZM66	6.3.2.4
Q6CSH0	6.5.1.1
B9LUZ9	6.5.1.1
A0QUZ7	6.3.2.4
Q08387	6.5.1.1
P00969	6.5.1.1
Q827Q7	6.3.5.5
O95573	6.2.1.3; 6.2.1.15
O25577	6.3.5.5
A1WY97	6.2.1.1
Q3A7A3	6.3.5.11
A3NQI1	6.3.4.5
Q87KU7	6.2.1.1
A1AV54	6.3.3.3
O97069	6.3.4.5
B7N0V6	6.3.4.5
Q9PAL9	6.3.3.3
Q1GVV6	6.3.4.5
C1CGQ3	6.3.1.1
P9WP97	6.3.5.9
A4TSI1	6.3.1.1
P19252	6.3.5.4
Q43011	6.3.5.4
Q5R6W9	6.3.5.4
C6DE43	2.3.1.40; 6.2.1.20
Q5WZ50	6.3.4.5
Q929S9	6.3.4.5
Q5ZY78	6.3.4.5
O07345	6.6.1.1
O27322	6.3.4.5
Q9CIL5	6.3.2.4
P9WP78	6.3.2.31; 6.3.2.34; 1.3.8.-
Q0S7V5	6.2.1.41
Q27474	6.5.1.1
Q0AMX1	6.3.2.4
A0L5M8	6.3.2.4
O29632	6.5.1.1
Q2IH69	6.5.1.1
Q60EJ6	6.3.2.-
Q3K746	6.3.2.4
Q976G4	6.5.1.1
C1CVC7	6.5.1.2
Q9CJT7	6.3.3.3
O19886	6.3.5.5
Q577P6	6.3.3.3
Q39CE5	6.3.3.3
A7Z5B3	6.3.3.3
B9DGD6	6.2.1.1
Q96VC7	6.2.1.1
Q9PIJ1	6.3.3.3
Q8Y665	6.3.5.5
O27077	6.3.5.5
Q8FYQ3	6.2.1.1
Q65TU7	6.3.3.3
A3DBU1	6.3.4.5
Q13085	6.4.1.2; 6.3.4.14
Q0T128	2.3.1.40; 6.2.1.20
Q83JV7	2.3.1.40; 6.2.1.20
Q7M9Y2	6.2.1.1
Q99PU5	6.2.1.3
P49787	6.3.4.14; 6.4.1.2
B4TAY6	6.3.1.1
Q84P26	6.2.1.-
Q1AS35	6.3.4.5
Q329T3	6.3.1.1
Q5ZSA7	6.3.2.4
A6U068	6.3.4.5
P73881	4.1.1.36; 6.3.2.5
Q58516	6.3.5.4
Q47T68	6.3.5.9
P0A6E5	6.3.4.5
P44905	6.3.3.2
B5Z4F4	2.3.1.40; 6.2.1.20
Q9LPK6	6.2.1.-
A1AF47	2.3.1.40; 6.2.1.20
F2RB81	6.2.1.-
Q0AKJ6	6.3.4.5
Q3JNE1	6.3.2.4
P0A6E9	6.3.3.3
O70490	6.2.1.2; 6.2.1.25
Q8XHB3	6.3.5.5
A9AE45	6.3.3.3
Q8KWT3	6.3.2.49
Q9JVZ6	6.3.5.5
O28054	6.3.5.11
A4SIM5	6.3.4.5
Q3ZA71	6.3.5.11
Q5P0Z7	6.3.4.5
Q8DCZ9	6.2.1.1
A6M1Z4	6.3.4.5
Q8FTM9	6.3.4.5
Q2LW77	6.2.1.1
A1JIK3	6.2.1.1
B5QWU2	2.3.1.40; 6.2.1.20
Q30YB8	6.3.4.5
Q54J08	6.4.1.2; 6.3.4.14
Q3YY21	2.3.1.40; 6.2.1.20
A1JPF0	2.3.1.40; 6.2.1.20
Q17QJ1	6.2.1.2
B7UJ66	6.3.4.5
B7GGJ1	6.-.-.-
B7N247	6.3.1.1
B7IVF4	6.-.-.-
Q87QN3	6.3.3.3
P00963	6.3.1.1
Q3BP46	6.3.3.3
Q87BG0	6.3.3.3
Q5JDW8	6.5.-.-
P09440	1.5.1.5; 3.5.4.9; 6.3.4.3
B9M374	6.3.4.5
P61523	6.3.4.5
Q1IIZ2	6.3.4.5
B2GKD7	6.3.4.5
Q71XS4	6.3.4.5
A8H5A5	6.3.2.4
Q9KZK8	6.3.2.31; 6.3.2.34; 1.3.8.-
Q5YQS0	6.3.2.31; 6.3.2.34; 1.3.8.-
P61525	6.3.4.5
A1RK54	6.3.2.4
Q2NUK1	6.3.2.4
Q5WTI9	6.3.2.4
Q8TMT1	6.5.1.1
Q46C04	6.5.1.1
P52496	6.5.1.1
A2SCY7	6.3.2.4
