Entry	EC number
Q44233	3.2.1.23
A2BKJ6	3.1.-.-
O35864	3.4.-.-
Q7G3T8	3.2.1.23
Q9MAJ7	3.2.1.23
A1SMR4	3.1.1.61; 3.5.1.44
Q5V0B3	3.1.1.61; 3.5.1.44
Q92ZT2	3.5.3.6
P14384	3.4.17.12
Q8U1T8	3.1.-.-
Q700S9	3.2.1.23
C0HJJ8	3.4.21.-
Q2UDK7	3.2.1.21
Q5B430	3.2.1.39
P15169	3.4.17.3
Q9NX46	3.5.1.-; 3.2.1.143; 3.2.2.-
O77695	3.2.1.31
P35392	3.5.2.6
D9SM34	3.2.1.23
Q5X1E5	2.7.7.72; 3.1.3.-; 3.1.4.-; 3.1.3.-
Q220A0	3.5.1.44
P19321	3.4.24.69
P52682	3.5.2.6
P07337	3.2.1.21
Q03LF7	3.1.-.-
P85138	3.4.23.-
Q8Z125	3.5.3.6
Q8ZK33	3.5.3.6
P55215	3.4.22.55
Q9FLD5	3.6.1.3
P37890	3.4.16.5
Q60393	3.4.24.69
P50388	3.2.1.23
Q8RKH2	3.4.24.-
Q5IS54	3.4.22.56
P29844	3.6.4.10
B2V1Y4	3.5.1.44
Q8EQV8	3.5.1.44
P08861	3.4.21.70
P15289	3.1.6.8
Q6C2H4	3.1.3.33
Q867B0	3.4.21.36
Q9FMD8	3.2.1.21
Q5P3T0	2.7.7.72; 3.1.3.-; 3.1.4.-; 3.1.3.-
B7MDA5	3.6.1.-
A8KB34	3.5.1.15
A6WK57	3.6.1.41
Q6DHQ3	3.5.1.114
Q6CJK6	3.1.2.-
Q63KN7	3.5.99.7
Q7YRZ1	3.1.11.7; 3.1.12.2
Q1BL32	3.5.99.7
Q91XE4	3.5.1.114
B2K485	3.6.1.41
Q5KMX3	3.5.99.7
A5PJI5	3.6.-.-
Q65LN0	3.5.2.5
Q9SE50	3.2.1.175
Q81WT0	3.5.1.-
Q3A2F4	3.6.1.7
Q32EM3	3.5.4.5
Q5PCG0	3.5.2.5
D4ARJ9	3.4.11.9
P08594	3.4.21.111
A9QZ60	3.5.3.23
A7X283	3.6.1.7
Q39WQ9	3.1.1.61; 3.5.1.44
A1WUV1	3.4.11.1; 3.4.11.10
B8NKA3	3.2.1.55
Q7V0D4	3.4.11.1; 3.4.11.10
B7N2L5	2.7.11.5; 3.1.3.-
O87125	3.1.1.61; 3.5.1.44
P51559	3.4.21.-
A1YFZ3	3.1.-.-; 4.2.99.18
Q9XAB7	3.1.1.31
A5I1A3	3.2.2.-
Q8GLH5	3.1.3.89
B8CPA0	3.5.1.96
Q6D7C2	3.1.1.31
C0JAV4	3.1.4.4
P50584	3.6.1.17
Q0HIL5	3.5.1.96
B4SZ04	3.1.3.89
Q83DJ2	3.4.21.92
P54802	3.2.1.50
B4TNP0	3.5.4.5
A3LYB6	3.4.24.-
Q7LZG1	3.1.1.7
Q2A3P9	3.2.2.-
A6H5K6	3.4.21.92
B9PGU1	3.6.-.-
B7J5I9	3.4.11.1; 3.4.11.10
B0BQ37	3.4.11.1; 3.4.11.10
Q1CHP8	3.1.3.89
Q3BPA1	3.4.11.1; 3.4.11.10
A9LNK9	3.1.21.-
P42662	3.4.24.-
B1J011	3.4.21.92
Q668Z7	3.1.3.89
B5F9Q6	3.4.11.1; 3.4.11.10
P59384	3.4.24.-
Q8PCR4	3.4.11.1; 3.4.11.10
Q81PL4	3.4.21.92
Q53389	3.5.1.87
A7ZM83	3.5.4.4
A3LN13	3.6.4.12
Q5U3T3	3.1.3.16
O15072	3.4.24.-
E9E2J4	3.4.11.9
Q6P326	3.4.21.-
