Entry	EC number
A4QKT8	7.1.2.2
Q6ENV6	7.1.2.2
Q8MBK3	7.1.2.2
A7Z9Q0	7.1.2.2
A0L2S8	7.1.2.2
B8J439	7.1.2.2
Q5HX59	7.1.2.2
A7NEH4	7.1.2.2
B5E670	7.1.2.2
A2RFC2	7.1.2.2
P42466	7.1.2.2
Q9WUE3	7.2.1.3
Q6EW72	7.1.2.2
A1V8T1	7.1.2.2
A7Y3E6	7.1.2.2
A9BPU5	7.1.2.2
B3CRK6	7.1.2.2
Q03EL4	7.1.2.2
B1IX04	7.1.2.2
B9MBA3	7.1.2.2
A5G9D6	7.1.2.2
Q9C5A9	7.1.2.2
A8Z6C7	7.1.2.2
Q0BIE1	7.5.2.12
Q0AUD3	7.1.2.2
A0B3Z7	7.5.2.12
Q85AU2	7.1.2.2
Q8MA05	7.1.2.2
Q12GQ2	7.1.2.2
Q5ZX76	7.6.2.5
Q98EV6	7.1.2.2
Q00804	7.2.2.10
Q4ZL22	7.1.2.2
P98194	7.2.2.10
A8GTS8	7.1.2.2
Q68VU6	7.1.2.2
P37385	7.2.2.8
O43520	7.6.2.1
C1F0M8	7.1.2.2
B8DWS2	7.1.2.2
Q9MTX9	7.1.2.2
A7M8Y9	7.1.2.2
A1UY34	7.1.2.2
Q042L5	7.1.2.2
Q0HNQ5	7.6.2.5
C6E9F3	7.1.2.2
Q8ZR95	7.2.2.8
Q4QN62	7.1.2.2
Q7JUN3	7.6.2.4
Q6D654	7.6.2.8
B7IG44	7.1.2.2
A6LJR1	7.1.2.2
C3M9S3	7.1.2.2
Q5E1N5	7.1.2.2
A2T317	7.1.2.2
Q92105	7.2.2.10
Q3AUA7	7.1.2.2
Q0I2G0	7.6.2.5
A2BYH6	7.1.2.2
D3K0R6	7.2.2.10
Q7FB56	7.6.2.2
Q6L3A1	7.1.2.2
P38995	7.2.2.8
Q29449	7.6.2.1
Q3KCC5	7.2.2.7
P92939	7.2.2.10
C1D5G4	7.1.2.2
A0RR26	7.1.2.2
Q5ZLC5	7.1.2.2
Q4A604	7.1.2.2
C0R2Y2	7.1.2.2
Q2RYF0	7.6.2.5
Q87Z03	7.6.2.5
Q83KD5	7.6.2.5
O03074	7.1.2.2
O81108	7.2.2.10
Q1C647	7.6.2.5
Q1I2I7	7.1.2.2
O64806	7.2.2.10
C1CF93	7.1.2.2
P10719	7.1.2.2
P58342	7.2.2.9
Q06SI2	7.1.2.2
A8AYG3	7.1.2.2
Q0AJB2	7.1.2.2
A8HS15	7.1.2.2
A8ZNS4	7.1.2.2
Q81JZ3	7.1.2.2
P24798	7.2.2.13
A5CYE4	7.1.2.2
Q5PBP5	7.6.2.5
A1A4J6	7.6.2.1
B4RD45	7.1.2.2
Q9SKX0	7.6.2.2
Q98SH2	7.2.2.10
Q2VZJ1	7.6.2.5
Q1XDP5	7.1.2.2
Q16720	7.2.2.10
Q64436	7.2.2.19
P20648	7.2.2.19
A9KK94	7.1.2.2
B7GTZ3	7.1.2.2
Q7VU44	7.1.2.2
B0UE41	7.1.2.2
Q2ST36	7.1.2.2
Q6KI79	7.1.2.2
A4QLU0	7.1.2.2
P26531	7.1.2.2
Q0AKW0	7.1.2.2
Q0AEJ6	7.1.2.2
A4WGF3	7.1.2.2
P42467	7.1.2.2
O47037	7.1.2.2
A1T0Y9	7.1.2.2
B1LL61	7.1.2.2
O08462	7.2.2.9
A2BYG3	7.1.2.2
B0KRA8	7.1.2.2
A4ITJ1	7.1.2.2
Q0I5X1	7.1.2.2
Q9X5X3	7.2.2.9
Q7U8U7	7.1.2.2
Q0TGT7	7.5.2.12
Q9K7C3	7.5.2.12
P0AAF3	7.5.2.12
Q47M82	7.1.2.2
A9GHR6	7.1.2.2
Q8LGU1	7.6.2.2
Q83G91	7.1.2.2
Q7V037	7.1.2.2
P11505	7.2.2.10
Q0SGP7	7.1.2.2
Q64566	7.2.2.10
A7NIR1	7.1.2.2
Q8K994	7.1.1.3
A8FJR2	7.1.2.2
Q74GY0	7.1.2.2
A0M791	7.1.2.2
Q7VJ21	7.1.2.2
Q641Y1	7.2.1.3
B3CN53	7.1.2.2
Q33C27	7.1.2.2
B2G691	7.1.2.2
A6WXX1	7.1.2.2
A5III3	7.1.2.2
Q03235	7.1.2.2
A7HT52	7.1.2.2
C0HK52	7.1.2.2
Q39ZU1	7.1.2.2
Q2GHX3	7.1.2.2
P29707	7.2.2.1
P32113	7.2.2.8
P81663	7.1.2.2
A3CM14	7.1.2.2
A6WUJ2	7.1.2.2
C3LSI9	7.1.2.2
P00830	7.1.2.2
C1F0N0	7.1.2.2
Q5LD82	7.1.2.2
Q2T873	7.1.2.2
Q5FNY6	7.1.2.2
B5XKP9	7.1.2.2
Q5ZR99	7.1.2.2
Q71WP7	7.1.2.2
C1CLK8	7.1.2.2
B9DRT4	7.1.2.2
Q5RDR3	7.2.2.13
B7JB86	7.1.2.2
A0K2Y1	7.1.2.2
Q6CYJ3	7.1.2.2
Q8UC74	7.1.2.2
Q9WV27	7.2.2.13
Q7W736	7.6.2.5
Q6G0V9	7.6.2.5
P30963	7.6.2.5
A4QKH7	7.1.2.2
Q9A2V7	7.1.2.2
Q0TFP1	7.6.2.5
A1BJF5	7.1.2.2
Q8KAW8	7.1.2.2
P11507	7.2.2.10
P52218	7.6.2.5
Q8A9V4	7.1.2.2
A9NBD0	7.1.2.2
Q1WUC8	7.1.2.2
P30399	7.1.2.2
A8G7M8	7.1.2.2
A9VSA3	7.1.2.2
B1HM54	7.1.2.2
B8DRD2	7.1.2.2
Q0BJL5	7.1.2.2
Q3K1J5	7.1.2.2
B7L882	7.1.2.2
P30158	7.1.2.2
Q04HT9	7.1.2.2
P12405	7.1.2.2
Q85V45	7.1.2.2
B7LK77	7.1.2.2
B1ICS9	7.1.2.2
Q5FKY0	7.1.2.2
B0Z4U4	7.1.2.2
P45823	7.1.2.2
A0QCX8	7.1.2.2
A1KI98	7.1.2.2
P45844	7.6.2.-
Q1RAN8	7.5.2.12
Q6D4W8	7.5.2.12
B0BZL2	7.1.2.2
Q0T4R9	7.6.2.8
Q48IS7	7.5.2.12
Q99PE8	7.6.2.-
Q3B3Z9	7.1.2.2
Q66AF5	7.5.2.12
Q87Q38	7.6.2.8
Q9H221	7.6.2.-
Q92FH0	7.1.2.2
Q6CFT7	7.1.2.2
C3P1F6	7.1.2.2
P13585	7.2.2.10
Q318U1	7.1.2.2
Q7V5S7	7.1.2.2
Q9SWS1	7.2.1.3
Q13I12	7.6.2.5
P70705	7.2.2.8
A8M2J5	7.1.2.2
A0A0H3JT74	7.2.2.-
P98198	7.6.2.1
Q1C607	7.2.2.7
A1UR49	7.1.2.2
Q0SYU4	7.1.2.2
Q3Z8Z2	7.1.2.2
A1RQB0	7.1.2.2
Q494C3	7.1.2.2
Q85V27	7.1.2.2
B5YXD6	7.1.2.2
C0M720	7.1.2.2
B2VCA4	7.1.2.2
Q9MRI8	7.1.2.2
B8G6G6	7.1.2.2
A8AYG1	7.1.2.2
A0ZZ42	7.1.2.2
Q5XCY0	7.1.2.2
B1KSS6	7.1.2.2
Q9BA85	7.1.2.2
Q1CX36	7.1.2.2
B6J961	7.1.2.2
A1ALL7	7.1.2.2
O33570	7.6.2.5
Q8Y4C1	7.1.2.2
Q0P3P2	7.1.2.2
B7UMJ9	7.1.2.2
A1VFJ3	7.1.2.2
A0LDA0	7.1.2.2
A8A6J7	7.1.2.2
P0ABB0	7.1.2.2
P17614	7.1.2.2
C5BF38	7.1.2.2
O22218	7.2.2.10
A0K4E8	7.5.2.12
Q12HP9	7.1.2.2
P0AAF4	7.5.2.12
Q9S472	7.5.2.12
Q13U53	7.5.2.12
Q2FWE8	7.1.2.2
Q9BA92	7.1.2.2
Q724W6	7.1.2.2
Q3K1J7	7.1.2.2
Q7UH05	7.1.2.2
A2BT25	7.1.2.2
B4TAX4	7.1.2.2
Q148W0	7.6.2.1
Q89UD2	7.3.2.3
C4K227	7.1.2.2
Q2RV18	7.1.2.2
C5CIV6	7.1.2.2
B0JWV1	7.1.2.2
A5U207	7.1.2.2
P99504	7.1.2.2
P21933	7.1.2.2
Q33C53	7.1.2.2
Q8P1K5	7.1.2.2
B2SEY1	7.1.2.2
Q4QN64	7.1.2.2
Q8PGG5	7.1.2.2
A4QL04	7.1.2.2
B6I3X1	7.1.2.2
O95342	7.6.2.-
Q59467	7.2.2.9
Q88BX4	7.1.2.2
B5XKQ1	7.1.2.2
A1ABP5	7.6.2.8
O36028	7.6.2.1
Q6LLG6	7.1.2.2
P50001	7.1.2.2
C0M718	7.1.2.2
Q2P7Q4	7.1.2.2
B3QWX7	7.1.2.2
Q03669	7.2.2.10
Q0AKQ2	7.6.2.5
Q8GQ92	7.6.2.5
A4Y189	7.1.2.2
A8F2U2	7.1.2.2
Q89AA4	7.1.1.3
Q9MRV8	7.1.2.2
O67828	7.1.2.2
Q09MH1	7.1.2.2
Q04BA5	7.1.2.2
B4TAX2	7.1.2.2
A9KX06	7.1.2.2
B8IN03	7.1.2.2
A6UDM1	7.1.2.2
A3Q3B3	7.1.2.2
Q0PC30	7.1.2.2
B1YQL4	7.1.2.2
A4JA35	7.1.2.2
Q08807	7.1.2.2
Q6EW63	7.1.2.2
P42006	7.1.2.2
Q2L917	7.1.2.2
O78491	7.1.2.2
Q17Y78	7.1.2.2
Q5E965	7.2.1.3
Q332X1	7.1.2.2
Q8P8M1	7.6.2.5
Q6F202	7.1.2.2
B6EHG4	7.1.2.2
P26532	7.1.2.2
A6VWQ6	7.1.2.2
P12986	7.1.2.2
Q63IX0	7.1.2.2
Q7YJY4	7.1.2.2
F1Q4S1	7.6.2.1
Q7NA92	7.1.2.2
Q06GS5	7.1.2.2
Q85X67	7.1.2.2
A6MMA7	7.1.2.2
Q4QLJ9	7.6.2.5
P45032	7.6.2.5
P29706	7.2.2.1
Q65V02	7.6.2.5
Q8WI30	7.1.2.2
Q6G1W9	7.1.2.2
B0SLC6	7.1.2.2
Q2NQ86	7.1.2.2
Q85FT2	7.1.2.2
Q4A8W1	7.1.2.2
P0ABB5	7.1.2.2
Q6F204	7.1.2.2
A0K2Y3	7.1.2.2
B4SJR9	7.1.2.2
Q9MU81	7.1.2.2
Q2A1I2	7.1.2.2
B0Z4W6	7.1.2.2
