Entry	EC number
Q2NQJ2	4.2.3.4
Q04JX2	4.2.3.4
Q8TMG9	4.1.1.31
Q1GVE2	4.2.3.5
Q28V48	4.3.2.1
P0CZ81	4.2.3.4
Q8DUW2	4.2.3.4
A1VZR4	4.3.2.1
C3MR05	4.99.1.3
A7FWU5	4.3.2.1
A4G0I4	4.3.2.1
A8LL46	4.3.2.1
B2J1W7	4.2.3.5
A0QYS5	4.3.2.1
Q96WT2	4.2.3.42; 5.5.1.14
B7M0P9	4.2.1.10
Q87L68	4.2.3.4
A5UIY9	4.1.1.31
B2I3H4	4.2.1.10
O26666	4.2.1.10
B5DGM7	4.1.2.13
A3PP56	4.2.1.10
B2IJF4	4.1.1.4
A3MTU5	4.1.1.19
B8D8P9	4.2.3.5
B1YD10	4.1.1.19
Q9ZM37	4.2.1.10
A7FDQ8	4.2.1.10
Q2YWS5	4.3.2.1
Q9Z8L0	4.1.1.61
Q2YWJ9	4.2.1.10
Q6MF52	4.2.3.4
A3CNV9	4.2.1.10
Q7V7S1	4.2.3.4
Q4JC71	4.2.1.10
Q9V1H9	4.2.3.4
A1YFZ3	3.1.-.-; 4.2.99.18
Q3KLY3	4.1.1.19
Q59639	4.2.2.3
A1VGV5	4.2.1.11
Q0K669	4.2.3.4
B7MD00	4.2.3.4
Q3LFU0	1.14.14.-; 4.2.1.152
P07639	4.2.3.4
B2VJW7	4.2.3.4
P00184	1.14.14.-; 4.2.1.152
P55202	4.6.1.2
Q0I432	4.2.3.4
P08478	1.14.17.3; 4.3.2.5
P42449	4.1.3.1
Q8GRC8	4.1.3.41
B7KL24	4.2.1.11
Q55367	4.2.1.104
P73618	4.1.2.4
Q1J2H6	4.2.1.11
A0R566	4.2.1.1
P9WP76	4.3.1.32; 2.5.1.147
B0JK91	4.1.2.4
B1AJM6	4.1.2.4
Q9K499	4.2.3.37
A3N123	4.1.2.4
Q21TN3	4.2.3.5
Q22460	4.2.1.1
B2HNC6	4.2.3.5
Q0HWM5	4.2.3.5
Q8Z307	4.1.1.31
Q9MAH0	4.1.1.31
A6QH17	4.2.3.5
C3MWZ3	4.99.1.3
C1CXS0	4.3.2.1
B7LA60	4.3.2.1
Q8EQB6	4.2.3.5
Q55688	4.1.99.5
A3DA22	4.3.2.1
Q6DAJ6	4.2.1.1
B3PPC1	4.3.2.1
B1KR25	4.2.1.10
A3N8Q9	4.2.3.5
Q97U96	4.2.1.5
B9KE09	4.2.3.5
A1RPR5	4.3.2.1
P0CZ59	4.1.2.13
P99075	4.1.2.13
Q9RN77	4.2.1.10
Q0AQ78	4.2.1.10
Q5AV07	2.3.1.86; 4.2.1.59; 1.3.1.9; 2.3.1.38; 2.3.1.39; 3.1.2.14
P00186	1.14.14.-; 4.2.1.152
B2U2J7	4.2.1.10
A6QFH1	4.3.2.1
Q16678	1.14.14.-; 4.2.1.152
B1MYC9	4.2.3.4
B8DBZ9	4.2.3.4
A6V1P7	4.2.2.3
C1DHQ5	4.2.3.4
P13243	4.1.2.13
O14434	4.2.1.94
A6WXC7	4.2.3.4
P07125	4.-.-.-
P63589	4.2.1.10
Q6BZP5	4.1.3.30
B4EY26	4.2.1.149
Q8GB17	4.2.1.149
A5FRZ7	4.2.3.4
Q99798	4.2.1.3
Q40577	4.2.3.61
Q84LG0	4.2.3.61
B7LS90	4.2.3.4
Q2A418	4.2.3.4
A8NR45	4.1.3.1; 4.1.3.30
C8V9R7	4.2.1.66
P0A9G7	4.1.3.1
Q1WSY0	4.2.1.11
B6HV37	4.2.3.-
B1YKT7	4.1.2.4
A9N329	4.3.1.7
Q68W04	4.2.99.18
Q4PD40	4.2.1.104
Q5FLZ2	4.1.2.4
B0RS35	4.3.1.7
O83754	4.2.99.18
Q9Y315	4.1.2.4
P63930	4.1.2.4
A3KNL6	4.3.2.8
C3LQC2	4.1.2.4
C7E5V9	4.2.3.47
C7E5V7	4.2.3.47
B0TQ91	4.1.2.4
Q2IPY2	4.1.1.37
A5N0Z3	4.1.2.4
A1JK30	4.2.1.17; 5.1.2.3; 1.1.1.35
B6ELS3	4.2.1.59; 5.3.3.14
B2GAM0	4.2.1.11
A0RV30	3.1.3.11; 4.1.2.13
Q3JCB0	4.2.1.108
P36922	4.2.-.-
Q1LT61	4.2.1.59; 5.3.3.14
Q1C660	4.2.1.17; 5.1.2.3; 1.1.1.35
B8HXS4	4.1.2.4
A7MGB0	4.1.2.4
B7HGF9	4.1.1.37
Q65EN2	4.2.1.11
Q5LXZ9	4.3.2.1
Q8NWN4	4.2.3.4
A9WJR8	4.3.2.1
B4SZQ7	4.2.3.5
P04711	4.1.1.31
P45951	4.2.99.18
A4FWK1	4.2.3.5
Q5XAW2	4.2.3.4
Q7P1U7	4.3.2.1
B1KXY0	4.3.2.1
A3MVZ5	4.1.1.31
B9DNV2	4.2.3.5
P58416	4.1.1.79
Q3K1U6	4.1.1.31
Q65M66	4.2.1.10
B7NTU3	4.2.1.10
Q1LJQ2	4.3.2.1
Q3MB82	4.1.1.31
P48282	4.2.1.1
Q1CNQ7	4.1.1.31
B7LA56	4.1.1.31
B2VGA2	4.1.1.31
A0LE92	4.2.3.5
B1YD56	4.2.3.5
Q6HL39	4.2.3.5
Q92RH3	4.2.3.5
A0RBX0	4.2.3.5
A0LUH1	4.2.3.5
A4SM83	4.2.3.5
A3N0B0	4.2.3.5
Q4H4F0	4.3.2.6
P21932	4.6.1.1
P18485	4.4.1.14
B6JHG1	4.2.1.10
Q5WGS8	4.2.3.5
A5VP72	4.3.2.3
A3MKP1	4.3.2.3
O87943	4.1.99.11
A1A8H1	4.3.2.3
Q9RW91	4.2.1.10
D4GYE0	4.1.2.13
P63486	4.3.2.3
P0DN79	4.2.1.22
A0Q5E2	4.2.1.10
Q21MK4	4.2.1.10
B1K259	4.1.1.4
Q5V5K5	4.2.3.5
P58336	4.1.2.13
B6JLQ1	4.2.3.5
Q20WT9	4.3.2.1
P67472	4.1.2.13
B2TTA4	4.3.2.3
Q9FYE3	4.2.1.1
A8GL81	4.3.2.1
Q9ZFG9	4.2.2.3; 5.1.3.37
B0K0T3	4.2.1.10
Q94GF1	4.1.3.27
A1BHE5	4.2.3.5
B0UTE6	4.2.3.4
P05177	1.14.14.-; 4.2.1.152
Q3Z247	4.2.1.10
A6TZT3	4.2.1.10
P31551	4.2.1.149
Q03LH6	4.2.1.10
A4W247	4.2.1.10
A8ALR7	4.2.1.149
Q5M558	4.2.1.10
Q44115	4.-.-.-
B3PPF1	4.2.3.4
A6UWT5	4.99.1.3; 4.99.1.11
Q641Z5	4.3.2.7
Q9ALZ7	4.-.-.-
Q0VCU1	4.2.1.3
Q18FF3	4.1.2.4
P23196	3.1.-.-; 4.2.99.18
Q9AR04	4.2.3.24
Q4JVG2	4.2.3.4
B8HRK7	4.2.3.4
P73881	4.1.1.36; 6.3.2.5
B7NDZ3	4.2.3.4
Q0TC78	4.2.3.4
P20594	4.6.1.2
C9K7B9	4.2.1.-
Q05115	4.1.1.76
A5UG10	4.2.3.4
P16067	4.6.1.2
P72238	4.2.1.-
Q96TP5	4.1.3.1; 4.1.3.30
D4GTL3	4.1.3.1
B7LXJ5	4.2.1.11
B5Z3E3	4.2.1.11
Q9D7X8	4.3.2.9
C7E5V8	4.2.3.47
D3DKC4	2.1.2.1; 4.1.2.48
Q6MGR8	4.1.2.4
A5GEW5	4.2.1.11
P9WNN5	4.2.1.17
B1W1R5	4.2.1.108
P0A6L1	4.1.2.4
P64103	4.2.1.59; 5.3.3.14
Q11CM8	4.1.1.37
P51063	4.1.1.31
