Entry	EC number
Q5HED1	5.1.1.1
Q2P7U1	5.1.1.1
Q96WT2	4.2.3.42; 5.5.1.14
Q9LD90	5.4.99.-
Q84T92	5.5.1.6
P59785	5.3.1.8; 2.7.7.13
Q9S469	5.1.3.4
Q2QLB4	5.6.1.6
P68106	5.2.1.8
Q9SIH1	5.2.1.8
Q9UHK6	5.1.99.4
Q1QBF3	5.1.1.8
D2AV87	5.1.1.8
A6LMV5	5.4.2.12
Q46GT9	5.4.3.8
A0Q5S7	5.1.1.20
Q5NFB1	5.4.2.12
Q54SS0	5.3.3.-
A1URA6	5.4.2.10
Q6G5P7	5.4.2.10
A9L683	5.3.1.28
Q1C964	5.4.2.11
A8GZ41	5.3.1.28
Q65U43	5.4.3.8
Q6LM51	5.3.1.9
P20080	5.2.1.8
Q1GTU1	5.3.1.9
Q5QXT9	5.4.2.7
P62943	5.2.1.8
P0C061	5.1.1.11
Q02ZT2	5.4.2.7
B5YJT7	5.3.1.28
C0ZIM8	5.4.2.10
A4TQJ1	5.4.2.7
Q0T8R6	5.4.2.-
Q3SMI5	5.3.1.28
Q98QT4	5.4.2.7
Q93ZG9	5.2.1.8
Q5PK44	5.4.2.-
B1LYJ9	5.4.2.7
Q92A54	5.4.2.7
C1KWQ5	5.4.2.7
O08437	5.2.1.8
Q31SU3	5.4.2.-
C6DKL9	5.4.2.7
C1CSV9	5.1.1.1
P0CZ57	5.1.1.1
B8IEC7	5.1.1.1
P31081	5.6.1.7
Q84FH6	5.4.99.5
H2IFX0	5.5.1.25
B7M0F7	5.3.1.4
Q6LYX4	5.4.3.2
B6HZ42	5.3.1.4
Q2R712	5.4.99.48
Q38900	5.2.1.8
A0A0U2X0E4	5.-.-.-
Q3IWG2	5.1.1.8
Q9HVZ0	5.3.1.28
O13739	5.4.99.5
Q5RET2	5.2.1.8
Q8FCA6	5.4.2.12
A9R3B3	5.4.2.11
Q04NV4	5.4.3.8
Q5R941	5.2.1.8
A8ALW1	5.4.2.-
B8D943	5.3.1.28
P26883	5.2.1.8
Q12WM7	5.4.3.8
Q8KAW3	5.3.1.28
P63227	5.3.1.28
Q60CV0	5.4.3.8
B3EHV1	5.3.1.28
Q58020	5.4.3.8
B3QL68	5.3.1.28
Q55797	5.3.1.28
A9HYU0	5.4.2.10
Q88CB2	5.1.1.1
C4XJU6	5.3.1.28
B7UJB5	5.3.1.28
B4E5F6	5.4.2.10
B8DBX2	5.4.2.7
B4SRY7	5.3.1.9
Q3YTZ9	5.4.2.-
Q62L77	5.4.2.10
Q31SV6	5.4.2.7
A7WXA5	5.4.2.7
B7JNG6	5.4.3.8
A0PXZ6	5.4.2.10
Q5WIE9	5.4.3.8
A2C7I7	5.4.3.8
B1YK58	5.4.3.8
C1C6G4	5.4.2.7
A1JK30	4.2.1.17; 5.1.2.3; 1.1.1.35
B6ELS3	4.2.1.59; 5.3.3.14
A9N970	5.4.2.12
Q1LT61	4.2.1.59; 5.3.3.14
Q1C660	4.2.1.17; 5.1.2.3; 1.1.1.35
Q47VY2	5.4.2.12
Q9FXM5	5.3.1.9
Q8X5V2	5.1.1.1
A5WDJ3	5.1.1.1
B2T5L6	5.1.1.1
Q2YIU9	5.1.1.1
A1KCI5	5.1.1.1
P95609	5.3.3.4
Q42663	5.5.1.6
Q02E40	5.4.2.2; 5.4.2.8
Q9ZFG9	4.2.2.3; 5.1.3.37
C1DQ86	5.3.1.28
Q5WYR0	5.4.2.7
P51589	1.14.14.-; 1.14.14.74; 1.14.14.73; 5.4.4.7
A6WXX7	5.1.1.8
Q9ZI54	5.3.2.6
Q9Z431	5.3.2.6
Q5JI21	5.4.2.12
P9WIC1	5.4.99.5
Q9HU05	5.4.99.5
Q39HM9	5.4.2.10
B0UPC1	5.4.2.7
A3PBK8	5.4.3.8
B1IZH8	5.4.2.12
B8J1K3	5.4.2.10
C3L6Z2	5.4.3.8
P64103	4.2.1.59; 5.3.3.14
B2S3S0	5.1.1.1
Q5WYG1	5.1.1.1
Q3SH36	5.1.1.1
A3PIR7	5.1.1.1
B9WZ64	5.1.1.1
Q09770	5.4.2.3
B0RIE3	5.3.1.4
Q108U0	5.6.1.6
P58538	5.3.1.4
B7MNR9	5.3.1.4
O13284	4.2.3.19; 5.5.1.13
O09174	5.1.99.4
Q9JJ46	5.3.3.5
P9WIC0	5.4.99.5
B1Y8G2	5.4.3.8
Q83IN9	5.3.1.9
C1CDH7	5.4.2.7
B0KCA9	5.4.2.7
A8FMK7	5.3.1.28
Q87M24	5.4.2.7
Q3AUB6	5.3.1.28
B3DY05	5.4.3.8
Q9ZK37	5.4.2.7
A7X0H6	5.3.1.9
P99078	5.3.1.9
P0CY37	5.2.1.8
B1XFK5	5.4.2.-
Q97EQ4	5.3.1.28
Q6GAW4	5.3.1.9
Q6M0P5	5.4.3.8
A5VHR0	5.4.2.7
P0C062	5.1.1.11
P64196	5.3.1.9
A5VS47	5.4.2.10
Q2NF42	5.4.3.8
Q57G26	5.4.2.-
B1W0Z7	5.3.1.9
A9MR94	5.4.2.-
B1IPP6	5.3.1.28
A9ACL5	5.4.2.10
Q554J3	5.2.1.8
A3QGT1	5.4.2.7
B8ZT67	5.4.3.8
P65765	5.2.1.8
Q185C5	5.4.3.9
Q9JXW0	5.4.3.8
B8GXK7	5.4.2.10
C3K743	4.2.1.59; 5.3.3.14
B7LLD0	4.2.1.17; 5.1.2.3; 1.1.1.35
A5CU74	5.4.2.10
P26884	5.2.1.8
Q6LTK3	4.2.1.17; 5.1.2.3; 1.1.1.35
Q02790	5.2.1.8
D5DNA8	5.4.2.12
Q47V96	5.4.3.8
B0V6J2	5.3.1.9
Q5F788	5.1.1.1
Q5H522	5.1.1.1
P06191	5.1.1.1
A7ISP6	5.5.1.6
P49818	5.6.1.7
B9XEK4	5.1.1.-
Q07E16	5.6.1.6
Q03XW2	5.3.1.4
P26149	1.1.1.145; 5.3.3.1
B5FI45	5.3.1.4
B4TJ59	5.3.1.4
Q8H0G1	5.5.1.6
A0A0M5KK13	5.-.-.-
A9IYI0	5.4.2.10
Q2KU87	5.3.1.28
B7MNK4	5.4.2.-
B7LEP1	5.4.2.-
Q1CS87	5.4.2.7
A6QFH3	5.3.1.9
A7H514	5.4.2.10
Q8DN74	5.3.1.9
O69529	4.1.2.25; 5.1.99.8; 1.13.11.81
Q5FU33	5.4.2.12
Q1QRT7	5.4.2.11
Q1AUK6	5.4.3.8
Q9AHY3	4.2.1.17; 5.1.2.3; 5.3.3.8; 1.1.1.35
Q5KWK9	5.4.3.8
Q15PR3	5.3.1.9
B7KA18	5.4.3.8
Q1GCX7	5.4.2.12
A5IHW7	5.4.2.10
Q5HSQ5	5.1.1.7
A0RI91	5.4.2.7
A9ESU7	5.1.1.1
A6WJ85	5.1.1.1
Q92JD9	5.1.1.1
P0A4X3	5.1.1.1
A9QYT2	5.1.1.1
Q3V7N2	5.1.1.1
Q43932	5.3.3.4
Q9SUN3	5.1.3.5
Q09YK5	5.6.1.6
Q07E42	5.6.1.6
Q8L8W5	5.2.1.8
B5YZ98	5.3.1.4
P63039	5.6.1.7
Q9RSA0	5.4.2.12
A1SE06	5.4.3.8
A5VSD5	5.1.1.8
O66820	5.4.2.12
Q1QU06	5.1.1.8
Q9V2M6	5.4.2.12
Q6LUH2	5.4.2.7
Q3ICU9	5.4.2.7
Q8TMI6	5.4.2.12
B7NP24	4.2.1.17; 5.1.2.3; 1.1.1.35
Q8ZIP0	5.4.2.-
Q13V40	5.4.3.8
Q4UTV8	5.3.1.9
P0A605	5.3.1.28
Q10175	5.2.1.8
A5FJ26	5.4.2.12
P46362	4.1.2.25; 5.1.99.8
Q93Q12	4.2.1.17; 5.1.2.3; 5.3.3.8; 1.1.1.35
B6EP85	5.1.1.7
A7X3X9	5.4.3.8
A1K306	5.1.1.7
A9BY74	5.4.3.8
P07896	4.2.1.17; 5.3.3.8; 1.1.1.35
Q2KYE9	5.3.1.9
B1I4L1	5.4.3.8
Q5XIC0	5.3.3.8
A4T096	5.4.2.11
A9BAE3	5.3.1.9
B7VGL4	4.2.1.17; 5.1.2.3; 5.3.3.8; 1.1.1.35
Q48RM8	5.1.1.1
P45257	5.1.1.1
Q1GFQ4	5.1.1.1
P32719	5.1.3.-
Q88GJ9	5.1.1.10
Q45QI7	5.5.1.6
Q2PF16	5.5.1.6
Q07DW5	5.6.1.6
A4W6G6	5.3.1.4
Q0BGI9	5.4.2.10
B5Y264	5.4.2.-
A6URL2	5.4.3.8
B9MMU5	5.4.2.10
C3LRA6	5.3.1.9
A8H726	5.4.2.7
Q821Z6	5.4.2.10
O25528	5.3.1.28
Q5PAE9	5.4.2.12
Q6LUS3	5.4.3.8
Q6FK71	5.2.1.8
P0A0T1	5.3.1.9
B4SZR0	4.2.1.17; 5.1.2.3; 1.1.1.35
B5XYH0	4.2.1.17; 5.1.2.3; 5.3.3.8; 1.1.1.35
B1XS92	5.4.2.11
Q2KJC8	5.2.1.8
P20081	5.2.1.8
Q5YPP1	5.3.1.9
